bench,bench_id,tw_id,cosine
tb2,circuit-fibsqrt,tw_532786,0.4523
tb2,circuit-fibsqrt,tw_380588,0.4484
tb2,circuit-fibsqrt,tw_21329,0.4415
tb2,cobol-modernization,tw_613847,0.4909
tb2,cobol-modernization,tw_229404,0.4628
tb2,cobol-modernization,tw_474817,0.4504
tb2,cobol-modernization,tw_474868,0.4502
tb2,cobol-modernization,tw_474864,0.4380
tb2,cobol-modernization,tw_6185,0.4266
tb2,cobol-modernization,tw_474878,0.4160
tb2,cobol-modernization,tw_124734,0.4138
tb2,cobol-modernization,tw_30769,0.4126
tb2,cobol-modernization,tw_644238,0.4089
tb2,cobol-modernization,tw_615831,0.4085
tb2,cobol-modernization,tw_730164,0.3983
tb2,cobol-modernization,tw_12673,0.3971
tb2,cobol-modernization,tw_474733,0.3892
tb2,cobol-modernization,tw_380588,0.3889
tb2,cobol-modernization,tw_240515,0.3872
tb2,cobol-modernization,tw_474236,0.3863
tb2,cobol-modernization,tw_679898,0.3857
tb2,cobol-modernization,tw_143212,0.3806
tb2,cobol-modernization,tw_11071,0.3762
tb2,code-from-image,tw_712739,0.4808
tb2,code-from-image,tw_739272,0.4655
tb2,code-from-image,tw_712723,0.4620
tb2,code-from-image,tw_474868,0.4526
tb2,code-from-image,tw_740941,0.4424
tb2,code-from-image,tw_739750,0.4395
tb2,code-from-image,tw_713475,0.4346
tb2,code-from-image,tw_534776,0.4346
tb2,code-from-image,tw_713457,0.4324
tb2,code-from-image,tw_102792,0.4311
tb2,code-from-image,tw_712748,0.4294
tb2,code-from-image,tw_474864,0.4258
tb2,code-from-image,tw_712764,0.4230
tb2,code-from-image,tw_713340,0.4215
tb2,code-from-image,tw_165299,0.4201
tb2,code-from-image,tw_143212,0.4146
tb2,code-from-image,tw_241070,0.4052
tb2,code-from-image,tw_713382,0.4038
tb2,code-from-image,tw_713454,0.4007
tb2,code-from-image,tw_730164,0.4006
tb2,compile-compcert,tw_672607,0.4823
tb2,compile-compcert,tw_126678,0.4583
tb2,compile-compcert,tw_12180,0.4485
tb2,compile-compcert,tw_108329,0.4333
tb2,compile-compcert,tw_501421,0.4321
tb2,compile-compcert,tw_730164,0.4304
tb2,compile-compcert,tw_479594,0.4282
tb2,compile-compcert,tw_479208,0.4183
tb2,compile-compcert,tw_351328,0.4112
tb2,compile-compcert,tw_713365,0.4077
tb2,compile-compcert,tw_104501,0.4047
tb2,compile-compcert,tw_690723,0.3976
tb2,compile-compcert,tw_609101,0.3951
tb2,compile-compcert,tw_381835,0.3949
tb2,compile-compcert,tw_262982,0.3894
tb2,compile-compcert,tw_713442,0.3850
tb2,compile-compcert,tw_21329,0.3844
tb2,compile-compcert,tw_433816,0.3843
tb2,compile-compcert,tw_18948,0.3829
tb2,compile-compcert,tw_739750,0.3813
tb2,configure-git-webserver,tw_322195,0.5746
tb2,configure-git-webserver,tw_100278,0.5202
tb2,configure-git-webserver,tw_694892,0.4490
tb2,configure-git-webserver,tw_124511,0.4272
tb2,configure-git-webserver,tw_313915,0.4115
tb2,configure-git-webserver,tw_277043,0.4088
tb2,configure-git-webserver,tw_244302,0.4053
tb2,configure-git-webserver,tw_380902,0.4044
tb2,configure-git-webserver,tw_538251,0.3973
tb2,configure-git-webserver,tw_195942,0.3940
tb2,configure-git-webserver,tw_587055,0.3924
tb2,configure-git-webserver,tw_538257,0.3895
tb2,configure-git-webserver,tw_484991,0.3827
tb2,configure-git-webserver,tw_138986,0.3778
tb2,configure-git-webserver,tw_28581,0.3757
tb2,configure-git-webserver,tw_702310,0.3623
tb2,configure-git-webserver,tw_654921,0.3452
tb2,configure-git-webserver,tw_605716,0.3388
tb2,configure-git-webserver,tw_481948,0.3368
tb2,configure-git-webserver,tw_694705,0.3361
tb2,constraints-scheduling,tw_112971,0.4635
tb2,constraints-scheduling,tw_96755,0.3823
tb2,constraints-scheduling,tw_191978,0.3626
tb2,constraints-scheduling,tw_129015,0.2997
tb2,constraints-scheduling,tw_284665,0.2885
tb2,constraints-scheduling,tw_431178,0.2882
tb2,constraints-scheduling,tw_47866,0.2859
tb2,constraints-scheduling,tw_341106,0.2846
tb2,constraints-scheduling,tw_12789,0.2809
tb2,constraints-scheduling,tw_694458,0.2791
tb2,constraints-scheduling,tw_213808,0.2788
tb2,constraints-scheduling,tw_524097,0.2768
tb2,constraints-scheduling,tw_500724,0.2744
tb2,constraints-scheduling,tw_573936,0.2730
tb2,constraints-scheduling,tw_339766,0.2702
tb2,constraints-scheduling,tw_603225,0.2696
tb2,constraints-scheduling,tw_125882,0.2691
tb2,constraints-scheduling,tw_339298,0.2691
tb2,constraints-scheduling,tw_452383,0.2688
tb2,constraints-scheduling,tw_310042,0.2629
tb2,count-dataset-tokens,tw_127866,0.4418
tb2,count-dataset-tokens,tw_569630,0.3999
tb2,count-dataset-tokens,tw_180,0.3972
tb2,count-dataset-tokens,tw_621404,0.3958
tb2,count-dataset-tokens,tw_357120,0.3950
tb2,count-dataset-tokens,tw_717922,0.3729
tb2,count-dataset-tokens,tw_6636,0.3721
tb2,count-dataset-tokens,tw_131343,0.3685
tb2,count-dataset-tokens,tw_582963,0.3662
tb2,count-dataset-tokens,tw_79006,0.3584
tb2,count-dataset-tokens,tw_125882,0.3499
tb2,count-dataset-tokens,tw_43020,0.3480
tb2,count-dataset-tokens,tw_318475,0.3478
tb2,count-dataset-tokens,tw_379785,0.3470
tb2,count-dataset-tokens,tw_494670,0.3459
tb2,count-dataset-tokens,tw_165299,0.3453
tb2,count-dataset-tokens,tw_310042,0.3401
tb2,count-dataset-tokens,tw_197232,0.3375
tb2,count-dataset-tokens,tw_12117,0.3364
tb2,count-dataset-tokens,tw_366394,0.3336
tb2,crack-7z-hash,tw_139985,0.4893
tb2,crack-7z-hash,tw_693093,0.4463
tb2,crack-7z-hash,tw_41811,0.4405
tb2,crack-7z-hash,tw_277043,0.4397
tb2,crack-7z-hash,tw_459969,0.4307
tb2,crack-7z-hash,tw_229615,0.4265
tb2,crack-7z-hash,tw_17667,0.4167
tb2,crack-7z-hash,tw_609295,0.4124
tb2,crack-7z-hash,tw_341419,0.4018
tb2,crack-7z-hash,tw_379693,0.4004
tb2,crack-7z-hash,tw_259030,0.3879
tb2,crack-7z-hash,tw_461445,0.3865
tb2,crack-7z-hash,tw_341420,0.3862
tb2,crack-7z-hash,tw_740786,0.3815
tb2,crack-7z-hash,tw_165683,0.3798
tb2,crack-7z-hash,tw_644384,0.3793
tb2,crack-7z-hash,tw_14342,0.3793
tb2,crack-7z-hash,tw_566624,0.3736
tb2,crack-7z-hash,tw_108756,0.3724
tb2,crack-7z-hash,tw_375132,0.3713
tb2,custom-memory-heap-crash,tw_7829,0.4773
tb2,custom-memory-heap-crash,tw_234227,0.4479
tb2,custom-memory-heap-crash,tw_637107,0.4215
tb2,custom-memory-heap-crash,tw_23077,0.3855
tb2,custom-memory-heap-crash,tw_529492,0.3724
tb2,custom-memory-heap-crash,tw_672607,0.3650
tb2,custom-memory-heap-crash,tw_12180,0.3606
tb2,custom-memory-heap-crash,tw_104501,0.3570
tb2,custom-memory-heap-crash,tw_528387,0.3552
tb2,custom-memory-heap-crash,tw_126678,0.3328
tb2,custom-memory-heap-crash,tw_10901,0.3301
tb2,custom-memory-heap-crash,tw_764682,0.3217
tb2,custom-memory-heap-crash,tw_21329,0.3197
tb2,custom-memory-heap-crash,tw_612294,0.3111
tb2,custom-memory-heap-crash,tw_14129,0.3102
tb2,custom-memory-heap-crash,tw_251800,0.3085
tb2,custom-memory-heap-crash,tw_108329,0.2970
tb2,custom-memory-heap-crash,tw_18948,0.2962
tb2,custom-memory-heap-crash,tw_690723,0.2952
tb2,custom-memory-heap-crash,tw_262982,0.2936
tb2,db-wal-recovery,tw_326975,0.3591
tb2,db-wal-recovery,tw_505094,0.3274
tb2,db-wal-recovery,tw_16385,0.2972
tb2,db-wal-recovery,tw_220270,0.2937
tb2,db-wal-recovery,tw_139449,0.2889
tb2,db-wal-recovery,tw_187062,0.2880
tb2,db-wal-recovery,tw_259702,0.2841
tb2,db-wal-recovery,tw_644384,0.2800
tb2,db-wal-recovery,tw_207807,0.2799
tb2,db-wal-recovery,tw_550958,0.2752
tb2,db-wal-recovery,tw_723909,0.2740
tb2,db-wal-recovery,tw_92698,0.2714
tb2,db-wal-recovery,tw_605047,0.2670
tb2,db-wal-recovery,tw_438112,0.2563
tb2,db-wal-recovery,tw_28053,0.2535
tb2,db-wal-recovery,tw_492423,0.2493
tb2,db-wal-recovery,tw_311076,0.2486
tb2,db-wal-recovery,tw_654258,0.2482
tb2,db-wal-recovery,tw_123382,0.2470
tb2,db-wal-recovery,tw_753474,0.2453
tb2,distribution-search,tw_24569,0.4649
tb2,distribution-search,tw_494670,0.4189
tb2,distribution-search,tw_293066,0.4172
tb2,distribution-search,tw_14593,0.4037
tb2,distribution-search,tw_366394,0.4021
tb2,distribution-search,tw_565602,0.4013
tb2,distribution-search,tw_5976,0.3951
tb2,distribution-search,tw_127866,0.3933
tb2,distribution-search,tw_668448,0.3925
tb2,distribution-search,tw_25727,0.3904
tb2,distribution-search,tw_494241,0.3901
tb2,distribution-search,tw_645040,0.3845
tb2,distribution-search,tw_473702,0.3843
tb2,distribution-search,tw_686647,0.3813
tb2,distribution-search,tw_92921,0.3813
tb2,distribution-search,tw_536409,0.3741
tb2,distribution-search,tw_229404,0.3723
tb2,distribution-search,tw_17238,0.3694
tb2,distribution-search,tw_102792,0.3643
tb2,distribution-search,tw_495885,0.3633
tb2,dna-assembly,tw_1025,0.4833
tb2,dna-assembly,tw_306002,0.4490
tb2,dna-assembly,tw_48144,0.4413
tb2,dna-assembly,tw_327279,0.4388
tb2,dna-assembly,tw_316273,0.4351
tb2,dna-assembly,tw_338534,0.4260
tb2,dna-assembly,tw_270877,0.4075
tb2,dna-assembly,tw_306597,0.3844
tb2,dna-assembly,tw_30769,0.3824
tb2,dna-assembly,tw_404423,0.3638
tb2,dna-assembly,tw_584886,0.3607
tb2,dna-assembly,tw_12673,0.3462
tb2,dna-assembly,tw_1331,0.3456
tb2,dna-assembly,tw_569867,0.3428
tb2,dna-assembly,tw_360189,0.3419
tb2,dna-assembly,tw_346220,0.3353
tb2,dna-assembly,tw_12788,0.3336
tb2,dna-assembly,tw_223228,0.3301
tb2,dna-assembly,tw_125983,0.3271
tb2,dna-assembly,tw_713358,0.3267
tb2,dna-insert,tw_306002,0.5099
tb2,dna-insert,tw_327279,0.4667
tb2,dna-insert,tw_1025,0.4555
tb2,dna-insert,tw_316273,0.4550
tb2,dna-insert,tw_48144,0.4532
tb2,dna-insert,tw_338534,0.4529
tb2,dna-insert,tw_270877,0.4128
tb2,dna-insert,tw_306597,0.4107
tb2,dna-insert,tw_584886,0.3817
tb2,dna-insert,tw_360189,0.3682
tb2,dna-insert,tw_366681,0.3618
tb2,dna-insert,tw_103308,0.3547
tb2,dna-insert,tw_30769,0.3519
tb2,dna-insert,tw_1331,0.3496
tb2,dna-insert,tw_713358,0.3457
tb2,dna-insert,tw_404423,0.3421
tb2,dna-insert,tw_366394,0.3411
tb2,dna-insert,tw_690306,0.3373
tb2,dna-insert,tw_717922,0.3294
tb2,dna-insert,tw_713369,0.3282
